year,state,type,energySrc,amount,region
2002,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,1031,West
2002,AK,"Combined Heat and Power, Commercial Power",Total,156311,West
2002,AK,"Combined Heat and Power, Commercial Power",Coal,129866,West
2002,AK,"Combined Heat and Power, Commercial Power",Petroleum,26445,West
2003,AK,Total Electric Power Industry,Total,6338732,West
2003,AK,Total Electric Power Industry,Coal,549664,West
2003,AK,Total Electric Power Industry,Hydroelectric Conventional,1582536,West
2003,AK,Total Electric Power Industry,Natural Gas,3354482,West
2003,AK,Total Electric Power Industry,Other Biomass,5019,West
2003,AK,Total Electric Power Industry,Petroleum,846274,West
2003,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,758,West
2003,AK,"Electric Generators, Electric Utilities",Total,5673462,West
2003,AK,"Electric Generators, Electric Utilities",Coal,167555,West
2003,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1582536,West
2003,AK,"Electric Generators, Electric Utilities",Natural Gas,3147997,West
2003,AK,"Electric Generators, Electric Utilities",Petroleum,775374,West
2003,AK,"Combined Heat and Power, Industrial Power",Total,272934,West
2003,AK,"Combined Heat and Power, Industrial Power",Natural Gas,206485,West
2003,AK,"Combined Heat and Power, Industrial Power",Other Biomass,5019,West
2003,AK,"Combined Heat and Power, Industrial Power",Petroleum,61430,West
2003,AK,"Combined Heat and Power, Electric Power",Total,162478,West
2003,AK,"Combined Heat and Power, Electric Power",Coal,162478,West
2003,AK,"Combined Heat and Power, Commercial Power",Total,229859,West
2003,AK,"Combined Heat and Power, Commercial Power",Coal,219631,West
2003,AK,"Combined Heat and Power, Commercial Power",Petroleum,9470,West
2003,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,758,West
2004,AK,Total Electric Power Industry,Total,6526717,West
2004,AK,Total Electric Power Industry,Coal,648980,West
2004,AK,Total Electric Power Industry,Hydroelectric Conventional,1498020,West
2004,AK,Total Electric Power Industry,Natural Gas,3623433,West
2004,AK,Total Electric Power Industry,Other Biomass,8828,West
2004,AK,Total Electric Power Industry,Petroleum,747068,West
2004,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,389,West
2004,AK,"Electric Generators, Electric Utilities",Total,5866420,West
2004,AK,"Electric Generators, Electric Utilities",Coal,211075,West
2004,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1498020,West
2004,AK,"Electric Generators, Electric Utilities",Natural Gas,3475477,West
2004,AK,"Electric Generators, Electric Utilities",Petroleum,681848,West
2004,AK,"Combined Heat and Power, Industrial Power",Total,209047,West
2004,AK,"Combined Heat and Power, Industrial Power",Natural Gas,147956,West
2004,AK,"Combined Heat and Power, Industrial Power",Other Biomass,8828,West
2004,AK,"Combined Heat and Power, Industrial Power",Petroleum,52263,West
2004,AK,"Combined Heat and Power, Electric Power",Total,182145,West
2004,AK,"Combined Heat and Power, Electric Power",Coal,182145,West
2004,AK,"Combined Heat and Power, Commercial Power",Total,269105,West
2004,AK,"Combined Heat and Power, Commercial Power",Coal,255760,West
2004,AK,"Combined Heat and Power, Commercial Power",Petroleum,12957,West
2004,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,389,West
2005,AK,Total Electric Power Industry,Total,6576659,West
2005,AK,Total Electric Power Industry,Coal,624318,West
2005,AK,Total Electric Power Industry,Hydroelectric Conventional,1463942,West
2005,AK,Total Electric Power Industry,Natural Gas,3723626,West
2005,AK,Total Electric Power Industry,Other Biomass,4873,West
2005,AK,Total Electric Power Industry,Petroleum,758929,West
2005,AK,Total Electric Power Industry,Wind,589,West
2005,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,383,West
2005,AK,"Electric Generators, Electric Utilities",Total,5946148,West
2005,AK,"Electric Generators, Electric Utilities",Coal,219320,West
2005,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1463942,West
2005,AK,"Electric Generators, Electric Utilities",Natural Gas,3576738,West
2005,AK,"Electric Generators, Electric Utilities",Petroleum,685559,West
2005,AK,"Electric Generators, Electric Utilities",Wind,589,West
2005,AK,"Combined Heat and Power, Industrial Power",Total,211245,West
2005,AK,"Combined Heat and Power, Industrial Power",Natural Gas,146888,West
2005,AK,"Combined Heat and Power, Industrial Power",Other Biomass,4873,West
2005,AK,"Combined Heat and Power, Industrial Power",Petroleum,59484,West
2005,AK,"Combined Heat and Power, Electric Power",Total,173942,West
2005,AK,"Combined Heat and Power, Electric Power",Coal,173942,West
2005,AK,"Combined Heat and Power, Commercial Power",Total,245324,West
2005,AK,"Combined Heat and Power, Commercial Power",Coal,231056,West
2005,AK,"Combined Heat and Power, Commercial Power",Petroleum,13885,West
2005,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,383,West
2006,AK,Total Electric Power Industry,Total,6674197,West
