year,state,type,energySrc,amount,region
1997,AK,"combined Heat and Power, Industrial Power",Petroleum,98313,west
1997,AK,"combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,41212,west
1997,AK,"combined Heat and Power, Commercial Power",Total,225346,west
1997,AK,"combined Heat and Power, Commercial Power",Coal,205537,west
1997,AK,"combined Heat and Power, Commercial Power",Petroleum,18855,west
1997,AK,"combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,954,west
1998,AK,Total Electric Power Industry,Total,5828845,west
1998,AK,Total Electric Power Industry,Coal,524613,west
1998,AK,Total Electric Power Industry,Hydroelectric Conventional,1113332,west
1998,AK,Total Electric Power Industry,Natural Gas,3352895,west
1998,AK,Total Electric Power Industry,Petroleum,836467,west
1998,AK,Total Electric Power Industry,Wind,0,west
1998,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,1538,west
1998,AK,"Electric Generators, Electric Utilities",Total,4590270,west
1998,AK,"Electric Generators, Electric Utilities",Coal,171053,west
1998,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1113332,west
1998,AK,"Electric Generators, Electric Utilities",Natural Gas,2548971,west
1998,AK,"Electric Generators, Electric Utilities",Petroleum,756914,west
1998,AK,"Electric Generators, Electric Utilities",Wind,0,west
1998,AK,"combined Heat and Power, Industrial Power",Total,876375,west
1998,AK,"combined Heat and Power, Industrial Power",Natural Gas,803924,west
1998,AK,"combined Heat and Power, Industrial Power",Petroleum,71574,west
1998,AK,"combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,877,west
1998,AK,"combined Heat and Power, Electric Power",Total,211373,west
1998,AK,"combined Heat and Power, Electric Power",Coal,210238,west
1998,AK,"combined Heat and Power, Electric Power",Petroleum,474,west
1998,AK,"combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,661,west
1998,AK,"combined Heat and Power, Commercial Power",Total,150827,west
1998,AK,"combined Heat and Power, Commercial Power",Coal,143322,west
1998,AK,"combined Heat and Power, Commercial Power",Petroleum,7505,west
1999,AK,Total Electric Power Industry,Total,5802308,west
1999,AK,Total Electric Power Industry,Coal,523369,west
1999,AK,Total Electric Power Industry,Hydroelectric Conventional,816608,west
1999,AK,Total Electric Power Industry,Natural Gas,3588075,west
1999,AK,Total Electric Power Industry,Petroleum,874256,west
1999,AK,Total Electric Power Industry,Wind,0,west
1999,AK,"Electric Generators, Electric Utilities",Total,4609315,west
1999,AK,"Electric Generators, Electric Utilities",Coal,156188,west
1999,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,816608,west
1999,AK,"Electric Generators, Electric Utilities",Natural Gas,2838480,west
1999,AK,"Electric Generators, Electric Utilities",Petroleum,798039,west
1999,AK,"Electric Generators, Electric Utilities",Wind,0,west
1999,AK,"combined Heat and Power, Industrial Power",Total,813467,west
1999,AK,"combined Heat and Power, Industrial Power",Natural Gas,749595,west
1999,AK,"combined Heat and Power, Industrial Power",Petroleum,63872,west
1999,AK,"combined Heat and Power, Electric Power",Total,226975,west
